,Unnamed: 0,folder,channel,type,filename,path,subbed,language,name,filetype,hardsub,episode,permalink,name_en,date,segment,name_ja,episode_id,date_id,peertubeid,cct_id,newpath,uploaded,langcheck,in_en,subs_burnt
214,3957,raw,lincoln,episode,Lincoln #215 (2010.11.23) - Behind the scenes Hotohara professional.mp4,raw/lincoln/episode/Lincoln #215 (2010.11.23) - Behind the scenes Hotohara professional.mp4,False,ja,Lincoln #215 2010.11.23 - Behind the scenes Hotohara professional,mp4,False,215,215-1-ja,Behind the scenes Hotohara professional,2010-11-23,0,,lincoln215_0,lincoln2010-11-23_0,lincoln-215-1-ja,lincoln_20101123_215_0,episode/lincoln_20101123_215_0_ja.mp4,False,lincoln2010-11-23,False,True
215,3958,raw,lincoln,episode,"Lincoln #216 (2010.11.30) - Battle of the King of Donburi Kimoto, Hakata and Takeyama.mp4","raw/lincoln/episode/Lincoln #216 (2010.11.30) - Battle of the King of Donburi Kimoto, Hakata and Takeyama.mp4",False,ja,"Lincoln #216 2010.11.30 - Battle of the King of Donburi Kimoto, Hakata and Takeyama",mp4,False,216,216-1-ja,"Battle of the King of Donburi Kimoto, Hakata and Takeyama",2010-11-30,0,,lincoln216_0,lincoln2010-11-30_0,lincoln-216-1-ja,lincoln_20101130_216_0,episode/lincoln_20101130_216_0_ja.mp4,False,lincoln2010-11-30,False,True
216,3959,raw,lincoln,episode,Lincoln #217 (2010.12.07) - The world of one hundred seconds.mp4,raw/lincoln/episode/Lincoln #217 (2010.12.07) - The world of one hundred seconds.mp4,False,ja,Lincoln #217 2010.12.07 - The world of one hundred seconds,mp4,False,217,217-1-ja,The world of one hundred seconds,2010-12-07,0,,lincoln217_0,lincoln2010-12-07_0,lincoln-217-1-ja,lincoln_20101207_217_0,episode/lincoln_20101207_217_0_ja.mp4,False,lincoln2010-12-07,False,True
217,3960,raw,lincoln,episode,Lincoln #218 (2010.12.14) - Lincoln radio Back to the 19xx.mp4,raw/lincoln/episode/Lincoln #218 (2010.12.14) - Lincoln radio Back to the 19xx.mp4,False,ja,Lincoln #218 2010.12.14 - Lincoln radio Back to the 19xx,mp4,False,218,218-1-ja,Lincoln radio Back to the 19xx,2010-12-14,0,,lincoln218_0,lincoln2010-12-14_0,lincoln-218-1-ja,lincoln_20101214_218_0,episode/lincoln_20101214_218_0_ja.mp4,False,lincoln2010-12-14,False,True
218,3961,raw,lincoln,episode,"Lincoln #219 (2011.01.18) - Ristrante Savanna, Asian and King of comedy.mp4","raw/lincoln/episode/Lincoln #219 (2011.01.18) - Ristrante Savanna, Asian and King of comedy.mp4",False,ja,"Lincoln #219 2011.01.18 - Ristrante Savanna, Asian and King of comedy",mp4,False,219,219-1-ja,"Ristrante Savanna, Asian and King of comedy",2011-01-18,0,,lincoln219_0,lincoln2011-01-18_0,lincoln-219-1-ja,lincoln_20110118_219_0,episode/lincoln_20110118_219_0_ja.mp4,False,lincoln2011-01-18,False,True
219,3962,raw,lincoln,episode,Lincoln #220 (2011.01.25) - A way to 100.000.000 yen.mp4,raw/lincoln/episode/Lincoln #220 (2011.01.25) - A way to 100.000.000 yen.mp4,False,ja,Lincoln #220 2011.01.25 - A way to 100.000.000 yen,mp4,False,220,220-1-ja,A way to 100.000.000 yen,2011-01-25,0,,lincoln220_0,lincoln2011-01-25_0,lincoln-220-1-ja,lincoln_20110125_220_0,episode/lincoln_20110125_220_0_ja.mp4,False,lincoln2011-01-25,False,True
220,4034,raw,lincoln,episode,Lincoln #221 (2011.02.08) - Lincoln shinnenkai 2011.mp4,raw/lincoln/episode/Lincoln #221 (2011.02.08) - Lincoln shinnenkai 2011.mp4,False,ja,Lincoln #221 2011.02.08 - Lincoln shinnenkai 2011,mp4,False,221,221-1-ja,Lincoln shinnenkai 2011,2011-02-08,0,,lincoln221_0,lincoln2011-02-08_0,lincoln-221-1-ja,lincoln_20110208_221_0,episode/lincoln_20110208_221_0_ja.mp4,False,lincoln2011-02-08,True,True
221,3963,raw,lincoln,episode,Lincoln #222 (2011.02.15) - Costume Bus Tour (sub).flv,raw/lincoln/episode/Lincoln #222 (2011.02.15) - Costume Bus Tour (sub).flv,False,ja,Lincoln #222 2011.02.15 - Costume Bus Tour sub,flv,False,222,222-1-ja,Costume Bus Tour sub,2011-02-15,0,,lincoln222_0,lincoln2011-02-15_0,lincoln-222-1-ja,lincoln_20110215_222_0,episode/lincoln_20110215_222_0_ja.flv,False,lincoln2011-02-15,True,False
222,3965,raw,lincoln,episode,Lincoln #223 (2011.02.22) - Behind the scenes Mimura professional.mp4,raw/lincoln/episode/Lincoln #223 (2011.02.22) - Behind the scenes Mimura professional.mp4,False,ja,Lincoln #223 2011.02.22 - Behind the scenes Mimura professional,mp4,False,223,223-1-ja,Behind the scenes Mimura professional,2011-02-22,0,,lincoln223_0,lincoln2011-02-22_0,lincoln-223-1-ja,lincoln_20110222_223_0,episode/lincoln_20110222_223_0_ja.mp4,False,lincoln2011-02-22,False,True
223,3966,raw,lincoln,episode,Lincoln #224 (2011.03.08) - Menu battle Guess what is in the dish.mp4,raw/lincoln/episode/Lincoln #224 (2011.03.08) - Menu battle Guess what is in the dish.mp4,False,ja,Lincoln #224 2011.03.08 - Menu battle Guess what is in the dish,mp4,False,224,224-1-ja,Menu battle Guess what is in the dish,2011-03-08,0,,lincoln224_0,lincoln2011-03-08_0,lincoln-224-1-ja,lincoln_20110308_224_0,episode/lincoln_20110308_224_0_ja.mp4,False,lincoln2011-03-08,False,True
