show_id,show,show_ja,date,episode,segment,name_ja,metadata,knightscoop_host,knightscoop_detective,knightscoop_location
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-23,18,2,阪神高速の渋滞はなんとかならんのか,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-23,18,3,子供美人はどこに,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-30,19,1,男性誌の女性獲得法は実際に通用するか？,"ホスト:香川登枝緒, 探偵: 槍魔栗三助, 位置: ",香川登枝緒,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-30,19,2,百歳まで長生きする秘訣,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-07-30,19,3,高速道路のサービスエリアのメシはなぜまずいか？,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-06,20,1,東京と大阪はどう違うのか？,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-06,20,2,西宮・満池谷墓地の手招き少女像,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-06,20,3,ホストの生態,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-13,21,1,交通違反反則金肩代わり会社の実態,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-13,21,2,神戸・塩屋のオカマ海岸,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-13,21,3,日本人の英会話,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-20,22,1,卵の値段,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-20,22,2,小股とは何か,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
