File Name,Extension,File Size (bytes),Duration,Bitrate,Bitrate _b/s,Video Format,Colour Primaries,Frame Width,Frame Height,Framerate,Framerate Dropframe,Framerate Mode,Scan Type,Scan Order,Pixel Aspect Ratio,Bit Depth,Audio Format,Channel(s),Channel Layout,Audio Bitrate,Audio Bitrate _b/s,Sampling Rate,Compression Mode
ダウンタウンのガキの使いやあらへんで!! 2002.05.12 第0608回 この日はトークのみ (インタレ保持) [H.264 640x480 24m01s],mp4,201373047,00:24:01.907,1117260,1 117 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63981,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.05.19 第0609回 息止め部(vsオフィス北野) (インタレ保持) [H.264 640x480 24m21s],mp4,175098849,00:24:21.827,958247,958 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63982,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.06.09 第0612回 新感覚！？芸人泣かせ(秘)罰ゲーム (インタレ保持) [H.264 640x480 23m51s],mp4,232192782,00:23:51.697,1297441,1 297 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63982,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.06.16 第0613回 息止め部(2)(vs太田プロ) (インタレ保持) [H.264 640x480 24m05s],mp4,199618190,00:24:05.544,1104737,1 105 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63981,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.06.23 第0614回 菅Pが記憶喪失？(ヘイポー総集編) (インタレ保持) [H.264 640x480 23m23s],mp4,221760024,00:23:23.802,1263768,1 264 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63981,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.06.30 第0615回 芸能人釣り大会(前編) (インタレ保持) [H.264 640x480 23m27s],mp4,281820640,00:23:27.139,1602233,1 602 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63981,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.07.07 第0616回 芸能人釣り大会(後編) (インタレ保持) [H.264 640x480 22m58s],mp4,290544340,00:22:58.544,1686094,1 686 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63981,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.07.14 第0617回 この日はトークのみ (インタレ保持) [H.264 640x480 24m10s],mp4,244347619,00:24:10.316,1347831,1 348 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63982,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.07.28 第0619回 遠藤が過去の恋愛を清算？ (インタレ保持) [H.264 640x480 24m07s],mp4,210020970,00:24:07.146,1161022,1 161 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63981,64.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 2002.08.04 第0620回 松本父母姉兄総出演罰ゲーム!!(前編) (インタレ保持) [H.264 640x480 24m21s],mp4,198751736,00:24:21.560,1087888,1 088 kb/s,AVC,BT.601 NTSC,640,480,29.970,(30000/1001),CFR,MBAFF,TFF,1.000,8 bits,AAC,1,C,63982,64.0 kb/s,48.0 kHz,Lossy
