cctid,show_id,show,show_ja,date,episode,segment,name_ja,description_ja,metadata,playlist,subbed,ccturl
gakinotsukai_19900501_30_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-01,30,0,100万円はもらったも同然だ!! メイキング・オブ・仮装大賞（カメレオンで不合格）,,"{""opening_jp"":""[ハガキ]コンサートはやらないのですか？レコードはもう出さないのですか？→ものまねコーナー""}",,,https://chikichiki.tube/gakinotsukai/video/30-1-ja
gakinotsukai_19900508_31_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-08,31,0,罰ゲーム・SM亀甲縛りアルタ画面で番組宣伝!!,,"{""opening_jp"":""[ハガキ]二人は誰かと間違われたことはありますか→人間観察は面白い""}",,,https://chikichiki.tube/gakinotsukai/video/31-1-ja
gakinotsukai_19900515_32_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-15,32,0,イカすのど自慢天国大合戦!!,,"{""opening_jp"":""浜田の衣装が汚い→東武動物公園での余興(営業)の話→グリーンピア三木での営業の話→交通事故の話→[ハガキ]小学校3年生の弟がダウンタウンに弟子入りしたいと言い出しました。どうか返事をしてあげてください→お二人は学生時代にあまり思い入れがないのですか？面白い昔話があったら話してください→奥さんを誘拐した犯人が松ちゃんを殺せと要求してきたら浜ちゃんはどうしますか？→松ちゃんは野沢直子と仲が良い？""}",,,https://chikichiki.tube/gakinotsukai/video/32-1-ja
gakinotsukai_19900522_33_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-22,33,0,激突チキチキスターボーリング,,"{""opening_jp"":""プロ野球が盛り上がっている→芸能界におけるコメディアンの地位→野球のルールに納得がいかない→早口言葉に納得がいかない[ハガキ]学校をズル休みしてまで浜ちゃんの出待ちをするも会えませんでした。励みにGジャンをください→寒い(のでGジャンをください)→究極の選択。辞めるならどっち？笑っていいともとガキの使い→どっちかを殴れと言われたら？西川きよしと桂三枝→4、5年前にダウンタウンが出ていたひょうきん予備校に清川虹子さんがゲストで来たときにキスの犠牲になった二人の内の一人が松っちゃんだった気がするのですがどうでしょうか？""}",,,https://chikichiki.tube/gakinotsukai/video/33-1-ja
gakinotsukai_19900529_34_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-29,34,0,チキチキオセロ名人戦!!,,"{""opening_jp"":""トークのスタジオが遠い→セットが変更→ナンパの話→東京の店員相手にはAV借りにくい→大阪の男は日本で一番スケベ→学生時代の二人のスケベな話→[ハガキ]ケンタッキーでアルバイトしていた時、ドライブルスルーに自転車で入ってきたおばちゃんにケンタッキー5本頂戴！と言われて笑ってしまいました→浜田は鳥人間コンテストに出る？出ない？""}",,,https://chikichiki.tube/gakinotsukai/video/34-1-ja
gakinotsukai_19900605_35_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-06-05,35,0,チキチキハスラー３,,"{""opening_jp"":""最近ちびまる子ちゃんが面白い→雑誌の怪しい通販商品を実際に試したい→特許を取れば大儲け(下駄箱スルメ)→[ハガキ](セーラー服を着た女性アシスタントがモニターと共に登場)ミスタードーナツのCMで共演したことがあるんですけど覚えていますか？→究極の選択。街に行くのに覆面付けて裸か、素顔でビキニ姿→究極の選択。自分が出ているエロ本が母親に見つかる。母親が出ているエロ本を見つける→ものまねコーナー""}",,,https://chikichiki.tube/gakinotsukai/video/35-1-ja
gakinotsukai_19900612_36_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-06-12,36,0,チキチキ３分クッキング!!,,"{""opening_jp"":""つかみのギャグ→性的興奮作用があるガラナチョコレートを実食→スタッフが下駄箱スルメを作ってみた→視聴者プレゼント→[ハガキ]松本さんは仲の良い友だちの盲腸の手術をしたというのは本当ですか？→お互いこいつ良いやつだと思ったことはありますか？→二人はどんな食べ物が好きなんですか？""}",,True,https://chikichiki.tube/gakinotsukai/video/36-1-en
gakinotsukai_19900616_SP_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-06-16,SP,0,SP漫才を披露 25:10-26:10(60m),,"{""opening_jp"":""漫才をしないといけない→片頭痛→浜田は車に轢かれたことがある→一回死んだと思ったことがある→吉本興業のってるノッテル図→今田の一人コント→東野の一人コント→130Rのコント→オールディーズのコント→山田花子(オンエアではネタはカット)→ダウンタウンの漫才""}",,,
gakinotsukai_19900619_37_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-06-19,37,0,チキチキマンガ道場!!,,"{""opening_jp"":""新しい番組の企画を考える→動物の話→松本は遅刻が多い→[ハガキ]浜ちゃんは大阪弁を使わずに話せませんか？""}",,,https://chikichiki.tube/gakinotsukai/video/37-1-ja
gakinotsukai_19900626_38_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-06-26,38,0,チキチキぼんさんが屁をこいた!!,,"{""opening_jp"":""浜田がドラマを始めた話→松本・紳助・さんまは歌下手ベスト3→演技力対決→[ハガキ]うちの学校には大阪だと笑われる｢馬場ダイ｣という生徒がいます→吉本とのギャラ交渉はどのようにしていますか？→林正之助会長のエピソード→桂三枝とやすしきよしのライバル関係""}",,,https://chikichiki.tube/gakinotsukai/video/38-1-ja
gakinotsukai_19900703_39_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-07-03,39,0,なし,,"{""opening_jp"":""下駄箱スルメ大抽選会→編集で切られている部分が多い→放送コードについて→お互いの悪口→[ハガキ]松本さんが浜田の妹はブサイクと言ってますが本当ですか？→お二人は何かに似ていると言われたことはありますか？""}",,,https://chikichiki.tube/gakinotsukai/video/39-1-ja
gakinotsukai_19900710_40_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-07-10,40,0,チキチキルパン三世アテレコ大合戦!!,,"{""opening_jp"":""松本の遅刻でトークが3時間以上遅れた→睡魔には勝てない→お詫びにお客さん150人にジュースを配る→[ハガキ]6月20日の放送で浜ちゃんと松ちゃんの頭上をハエが飛んでたんですがダウンタウンの二人は臭いのですか？""}",,,https://chikichiki.tube/gakinotsukai/video/40-1-ja
gakinotsukai_19900717_41_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-07-17,41,0,チキチキ初級英会話講座!!,,"{""opening_jp"":""松本が前回遅刻したので客にお詫びでジュース配る(200人で2万円）→可愛い部分を出していきたい→[ハガキ]プロ野球でセリーグが勝つかパリーグが勝つか賭けるのはどうでしょうか""}",,,https://chikichiki.tube/gakinotsukai/video/41-1-ja
gakinotsukai_19900724_42_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-07-24,42,0,チビッ子なんでも相談室,,"{""opening_jp"":""電車で来たから来るのが遅くなった→5時にここに来る人間がなぜ4時50分に東京にいたの？→[ハガキ]松本さんが高校時代にホテルに彼女に行ったときホテルで火事を起こしたって聞きましたが本当ですか？""}",,,https://chikichiki.tube/gakinotsukai/video/42-1-ja
gakinotsukai_19900731_43_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-07-31,43,0,プロ野球オールスター予想対決,,"{""opening_jp"":""スカイダイビングやるにあたって考えた→[ハガキ]ノンノでデートしたい100人の100位内に二人が入ってましたがウッチャンナンチャンに負けてしまった感想を→松ちゃんは仕事が嫌いなのですか？""}",,,https://chikichiki.tube/gakinotsukai/video/43-1-ja
gakinotsukai_19900807_44_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-08-07,44,0,罰ゲーム　浜ちゃん決死のスカイダイビング!!,,"{""opening_jp"":""スカイダイビングでの体験""}",,,https://chikichiki.tube/gakinotsukai/video/44-1-ja
gakinotsukai_19900821_45_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-08-21,45,0,新体操の女王　浩子ちゃんと踊ろう！,,"{""opening_jp"":""最近した研究→[ハガキ]写真集を出していたと聞いたんですがどんな物なんですか？売れたんですか？→怪談話の季節ですがダウンタウンの二人はなにか恐ろしい体験をしたことがありますか？""}",,,https://chikichiki.tube/gakinotsukai/video/45-1-ja
